,districtName,districtCity,lat,lon,name,gradeLevels,rating,percentLowIncome,enrollment,parentRating,numReviews,Asian,African American,Hispanic,White,Two or more races,American Indian/Alaska Native,studentsPerTeacher,Pacific Islander
78,VA Beach City Public Schools,Virginia Beach,36.798038,-76.10022,Rosemont Elementary School,PK-5,9.0,67%,443,5,10,9.0,40.0,15.0,22.0,14.0,,11.0,
79,VA Beach City Public Schools,Virginia Beach,36.773247,-76.12085,Salem Elementary School,PK-5,9.0,37%,490,5,19,10.0,23.0,15.0,41.0,9.0,1.0,15.0,1.0
80,VA Beach City Public Schools,Virginia Beach,36.7481,-75.999748,Red Mill Elementary School,PK-5,9.0,13%,641,5,23,6.0,3.0,8.0,78.0,5.0,,16.0,
81,VA Beach City Public Schools,Virginia Beach,36.779446,-76.197296,Tallwood Elementary School,PK-5,9.0,39%,599,3,22,10.0,25.0,14.0,34.0,15.0,,13.0,1.0
82,Washington County Public Schools,Abingdon,36.751545,-82.045494,Greendale Elementary School,PK-5,9.0,54%,339,5,14,1.0,1.0,4.0,92.0,2.0,,13.0,
83,Wise County Public Schools,Wise,36.948273,-82.468445,Coeburn Primary School,PK-4,9.0,83%,457,3,10,,1.0,,97.0,2.0,,14.0,
84,Wise County Public Schools,Wise,37.110909,-82.598869,J.W. Adams Combined,PK-8,9.0,84%,457,4,4,,,1.0,98.0,,,14.0,
85,Wise County Public Schools,Wise,36.908451,-82.309799,St. Paul Elementary School,PK-8,9.0,86%,232,4,7,,1.0,1.0,97.0,,,14.0,
86,Wise County Public Schools,Wise,36.9744,-82.576012,L.F. Addington Middle School,5-8,9.0,72%,498,5,3,1.0,2.0,1.0,95.0,,,14.0,
87,Wythe County Public Schools,Wytheville,36.886642,-80.992767,Sheffey Elementary School,PK-5,9.0,54%,251,5,1,,,,99.0,,,20.0,
88,York County Public Schools,Yorktown,37.094398,-76.423477,Bethel Manor Elementary School,PK-5,9.0,52%,600,5,29,2.0,18.0,20.0,50.0,9.0,1.0,16.0,
89,York County Public Schools,Yorktown,37.186195,-76.44503,Seaford Elementary School,K-5,9.0,22%,441,5,27,3.0,3.0,6.0,80.0,7.0,,16.0,
90,York County Public Schools,Yorktown,37.113564,-76.431274,Tabb Elementary School,PK-5,9.0,22%,615,4,44,7.0,12.0,10.0,60.0,11.0,,17.0,
91,York County Public Schools,Yorktown,37.124691,-76.450615,Tabb Middle School,6-8,9.0,22%,860,4,18,7.0,12.0,13.0,57.0,10.0,,17.0,1.0
92,York County Public Schools,Yorktown,37.106663,-76.439865,Coventry Elementary School,PK-5,9.0,18%,567,4,33,14.0,12.0,8.0,55.0,10.0,,18.0,1.0
93,Roanoke County Public Schools,Roanoke,37.331699,-79.882202,Bonsack Elementary School,PK-5,9.0,15%,350,4,11,4.0,3.0,3.0,84.0,5.0,,15.0,
94,Loudoun County Public Schools,Broadlands,39.013885,-77.515793,Mill Run Elementary School,PK-5,9.0,3%,910,5,28,36.0,3.0,4.0,51.0,5.0,,18.0,
95,Chesapeake Public Schools,Chesapeake,36.714096,-76.335327,Grassfield Elementary School,PK-5,9.0,15%,984,4,26,2.0,15.0,12.0,61.0,10.0,,20.0,
96,Fairfax County Public Schools,Falls Church,38.946602,-77.265297,Colvin Run Elementary School,PK-6,9.0,1%,779,4,55,31.0,2.0,4.0,57.0,6.0,,15.0,
97,Prince William County Public Schools,Manassas,38.841228,-77.654884,J.W. Alvey Elementary School,PK-5,9.0,4%,689,3,17,12.0,7.0,6.0,66.0,9.0,,17.0,
98,Prince William County Public Schools,Manassas,38.754631,-77.482513,Pennington School,1-8,9.0,16%,643,4,51,20.0,19.0,16.0,36.0,8.0,,17.0,
99,Loudoun County Public Schools,Broadlands,38.9925,-77.530952,Briar Woods High School,9-12,9.0,4%,1764,4,41,24.0,5.0,8.0,57.0,5.0,,16.0,
100,Chesterfield County Public Schools,Chesterfield,37.406757,-77.701599,Cosby High School,9-12,9.0,9%,2186,4,63,5.0,13.0,6.0,72.0,4.0,,17.0,
101,Henrico County Public Schools,Richmond,37.660538,-77.61441,Colonial Trail Elementary School,PK-5,9.0,10%,689,5,208,57.0,7.0,5.0,27.0,4.0,,16.0,
102,Chesapeake Public Schools,Chesapeake,36.712063,-76.318726,Grassfield High School,9-12,9.0,13%,2071,4,44,3.0,16.0,9.0,63.0,9.0,,16.0,
103,Henrico County Public Schools,Richmond,37.689758,-77.590057,Holman Middle School,6-8,9.0,15%,1023,4,26,27.0,10.0,5.0,52.0,5.0,,17.0,
104,VA Beach City Public Schools,Virginia Beach,36.804672,-76.111404,Green Run Collegiate,9-12,8.0,45%,336,0,0,7.0,40.0,13.0,28.0,12.0,1.0,11.0,1.0
105,Arlington County Public Schools,Arlington,38.908524,-77.147293,Discovery Elementary School,PK-5,8.0,3%,621,4,225,7.0,2.0,8.0,74.0,9.0,,14.0,
106,Norfolk City Public Schools,Norfolk,36.883408,-76.262856,The Academy for Discovery at Lakewood,3-8,8.0,36%,807,5,4,3.0,40.0,7.0,43.0,7.0,,14.0,1.0
107,Albemarle County Public Schools,Charlottesville,38.057068,-78.613358,Virginia L Murray Elementary School,PK-5,8.0,9%,266,5,21,8.0,3.0,5.0,74.0,9.0,,12.0,
108,Albemarle County Public Schools,Charlottesville,38.081245,-78.598076,Meriwether Lewis Elementary School,K-5,8.0,10%,432,0,0,3.0,1.0,3.0,90.0,2.0,,12.0,
109,Arlington County Public Schools,Arlington,38.900463,-77.151123,Nottingham Elementary School,K-5,8.0,3%,523,3,75,8.0,1.0,7.0,76.0,9.0,,17.0,
110,Arlington County Public Schools,Arlington,38.909336,-77.147171,Williamsburg Middle School,6-8,8.0,11%,1316,4,64,6.0,6.0,13.0,68.0,6.0,,13.0,
111,Bath County Public Schools,Warm Springs,37.977577,-79.606781,Millboro Elementary School,PK-7,8.0,60%,142,5,1,,1.0,4.0,94.0,1.0,,9.0,
112,Botetourt County Public Schools,Fincastle,37.502426,-79.873177,Breckinridge Elementary School,PK-5,8.0,35%,203,3,4,,2.0,1.0,94.0,3.0,,12.0,
113,Botetourt County Public Schools,Fincastle,37.512218,-79.704056,Buchanan Elementary School,PK-5,8.0,48%,259,4,9,,1.0,3.0,91.0,5.0,,11.0,
114,Botetourt County Public Schools,Fincastle,37.362823,-79.900024,Cloverdale Elementary School,PK-5,8.0,18%,269,4,11,1.0,3.0,3.0,88.0,4.0,,14.0,
115,Botetourt County Public Schools,Fincastle,37.656311,-79.811165,Eagle Rock Elementary School,PK-5,8.0,52%,146,0,0,,1.0,,95.0,4.0,,11.0,
116,Bristol City Public Schools,Bristol,36.611099,-82.1782,Washington Lee Elementary School,PK-5,8.0,98%,201,5,1,1.0,11.0,6.0,70.0,12.0,,12.0,
117,Carroll County Public Schools,Hillsville,36.689926,-80.697662,Fancy Gap Elementary School,PK-5,8.0,41%,150,5,2,1.0,1.0,3.0,95.0,,1.0,10.0,
118,Charlotte County Public Schools,Charlotte Court House,37.04118,-78.553467,Eureka Elementary School,PK-5,8.0,60%,449,5,1,1.0,22.0,4.0,65.0,8.0,,14.0,
119,Chesapeake Public Schools,Chesapeake,36.656994,-76.222054,Southeastern Elementary School,PK-5,8.0,11%,821,4,35,5.0,4.0,7.0,76.0,7.0,,17.0,
120,Chesapeake Public Schools,Chesapeake,36.688915,-76.238045,Great Bridge Intermediate School,3-5,8.0,19%,674,4,30,3.0,7.0,10.0,72.0,8.0,,19.0,
121,Chesapeake Public Schools,Chesapeake,36.650143,-76.215546,Hickory High School,9-12,8.0,9%,1790,4,57,2.0,7.0,7.0,79.0,5.0,,16.0,
122,Chesapeake Public Schools,Chesapeake,36.723343,-76.300491,Cedar Road Elementary School,PK-5,8.0,15%,858,4,38,6.0,10.0,10.0,67.0,7.0,1.0,18.0,
123,Chesapeake Public Schools,Chesapeake,36.733856,-76.340622,Hugo A. Owens Middle School,6-8,8.0,31%,1189,4,41,3.0,37.0,10.0,42.0,7.0,,14.0,
124,Chesterfield County Public Schools,Chesterfield,37.549316,-77.65239,Bettie Weaver Elementary School,PK-5,8.0,2%,666,4,63,2.0,1.0,2.0,93.0,1.0,,19.0,
125,Chesterfield County Public Schools,Chesterfield,37.496616,-77.660591,Midlothian High School,9-12,8.0,10%,1686,4,43,7.0,10.0,5.0,73.0,4.0,,17.0,
126,Dickenson County Public Schools,Clintwood,37.158028,-82.442947,Clintwood Elementary School,PK-5,8.0,78%,501,1,8,,1.0,1.0,97.0,1.0,,14.0,
127,Dickenson County Public Schools,Clintwood,37.067307,-82.34346,Ervinton Elementary School,PK-5,8.0,79%,117,0,0,,2.0,,98.0,,,10.0,
128,Fairfax County Public Schools,Falls Church,38.838306,-77.168556,Belvedere Elementary School,PK-5,8.0,51%,734,5,35,11.0,16.0,45.0,24.0,4.0,1.0,11.0,
