,districtName,districtCity,lat,lon,name,gradeLevels,rating,percentLowIncome,enrollment,parentRating,numReviews,Asian,African American,Hispanic,White,Two or more races,American Indian/Alaska Native,studentsPerTeacher,Pacific Islander
994,York County Public Schools,Yorktown,37.225616,-76.517052,Yorktown Middle School,6-8,5.0,29%,746,4,21,4.0,13.0,9.0,65.0,8.0,,16.0,1.0
995,Arlington County Public Schools,Arlington,38.861771,-77.070946,Hoffman-Boston Elementary School,PK-5,5.0,50%,526,4,50,24.0,25.0,27.0,17.0,6.0,1.0,11.0,
996,Chesterfield County Public Schools,Chesterfield,37.382599,-77.652,Spring Run Elementary School,PK-5,5.0,17%,881,4,40,3.0,12.0,6.0,72.0,6.0,,17.0,
997,Loudoun County Public Schools,Broadlands,39.094803,-77.522705,Harper Park Middle School,6-8,5.0,19%,1093,4,17,14.0,8.0,16.0,54.0,6.0,1.0,12.0,
998,Loudoun County Public Schools,Broadlands,39.044811,-77.385391,Horizon Elementary School,PK-5,5.0,11%,677,4,55,21.0,5.0,12.0,55.0,7.0,1.0,16.0,
999,Spotsylvania County Public Schools,Fredericksburg,38.27108,-77.628464,Ni River Middle School,6-8,5.0,26%,723,4,12,2.0,11.0,8.0,72.0,5.0,1.0,16.0,
1000,Buchanan County Public Schools,Grundy,37.240356,-81.913857,Twin Valley High School,8-12,5.0,70%,231,5,7,,,1.0,97.0,2.0,,10.0,
1001,Buchanan County Public Schools,Grundy,37.204361,-81.974648,Twin Valley Elementary/Middle School,PK-7,5.0,85%,356,4,9,,,1.0,99.0,,,13.0,
1002,Fairfax County Public Schools,Falls Church,38.885971,-77.465813,Westfield High School,9-12,5.0,25%,2682,4,47,21.0,13.0,23.0,38.0,5.0,,15.0,
1003,Montgomery County Public Schools,Christiansburg,37.203999,-80.229897,Eastern Montgomery High School,9-12,5.0,62%,289,4,11,,2.0,7.0,87.0,3.0,1.0,9.0,
1004,Prince William County Public Schools,Manassas,38.611942,-77.364204,Forest Park High School,9-12,5.0,27%,2215,4,23,8.0,27.0,21.0,36.0,8.0,,18.0,
1005,Rockingham County Public Schools,Harrisonburg,38.37254,-78.800835,Peak View Elementary School,PK-5,5.0,35%,464,5,7,2.0,1.0,29.0,63.0,3.0,1.0,14.0,
1006,Stafford County Public Schools,Stafford,38.361084,-77.535042,Rocky Run Elementary School,PK-5,5.0,36%,934,4,64,4.0,25.0,18.0,42.0,9.0,,16.0,
1007,Suffolk City Public Schools,Suffolk,36.787491,-76.595955,King's Fork Middle School,6-8,5.0,56%,1003,3,30,1.0,64.0,5.0,23.0,6.0,,13.0,
1008,Arlington County Public Schools,Arlington,38.858303,-77.125694,Campbell Elementary School,PK-5,5.0,54%,429,5,26,7.0,14.0,43.0,29.0,6.0,,11.0,
1009,VA Beach City Public Schools,Virginia Beach,36.779682,-76.100647,Landstown High School,9-12,5.0,34%,2199,4,31,13.0,28.0,11.0,38.0,10.0,,15.0,1.0
1010,Loudoun County Public Schools,Broadlands,38.913734,-77.522423,Hutchison Farm Elementary School,PK-5,5.0,15%,816,5,25,29.0,7.0,11.0,46.0,6.0,1.0,17.0,
1011,Prince William County Public Schools,Manassas,38.823402,-77.605515,Bull Run Middle School,6-8,5.0,29%,1168,4,13,8.0,10.0,29.0,45.0,7.0,,17.0,
1012,Spotsylvania County Public Schools,Fredericksburg,38.198936,-77.52993,Parkside Elementary School,PK-5,5.0,36%,860,4,45,7.0,24.0,15.0,45.0,9.0,,19.0,
1013,Loudoun County Public Schools,Broadlands,39.043392,-77.413986,Countryside Elementary School,PK-5,5.0,29%,755,4,46,13.0,9.0,30.0,41.0,7.0,,13.0,
1014,Loudoun County Public Schools,Broadlands,39.156738,-77.731255,Mountain View Elementary School,PK-5,5.0,15%,650,2,15,2.0,5.0,14.0,76.0,3.0,,16.0,
1015,Pittsylvania County Public Schools,Chatham,36.620098,-79.6045,Brosville Elementary School,PK-5,5.0,70%,270,4,19,1.0,28.0,9.0,59.0,2.0,,14.0,
1016,Stafford County Public Schools,Stafford,38.342186,-77.439095,Conway Elementary School,PK-5,5.0,29%,792,4,30,2.0,13.0,16.0,59.0,9.0,,17.0,
1017,Stafford County Public Schools,Stafford,38.329849,-77.420586,Donald B. Dixon-Lyle R. Smith Middle School,6-8,5.0,29%,800,5,3,2.0,11.0,12.0,68.0,6.0,1.0,14.0,
1018,Prince William County Public Schools,Manassas,38.659351,-77.384872,Rosa Parks Elementary School,PK-5,5.0,37%,737,5,60,8.0,23.0,37.0,24.0,8.0,,17.0,
1019,King Geo County Public Schools,King George,38.264557,-77.333504,Sealston Elementary School,K-6,5.0,30%,796,4,22,1.0,13.0,9.0,66.0,11.0,,15.0,
1020,Prince William County Public Schools,Manassas,38.75428,-77.55381,Victory Elementary School,PK-5,5.0,31%,742,4,55,9.0,13.0,27.0,44.0,7.0,,18.0,
1021,Accomack County Public Schools,Accomac,37.924614,-75.557236,Arcadia Middle School,6-8,5.0,75%,519,4,8,1.0,34.0,30.0,34.0,1.0,,11.0,
1022,Henrico County Public Schools,Richmond,37.658318,-77.537758,Hungary Creek Middle School,6-8,5.0,28%,1054,4,59,11.0,20.0,7.0,55.0,6.0,,16.0,
1023,Accomack County Public Schools,Accomac,37.682606,-75.725616,Nandua Middle School,6-8,5.0,69%,514,5,7,1.0,41.0,21.0,36.0,1.0,,13.0,
1024,Augusta County Public Schools,Verona,38.12254,-78.988487,Wilson Middle School,6-8,5.0,39%,615,3,17,1.0,4.0,7.0,83.0,4.0,,14.0,
1025,Halifax County Public Schools,Halifax,36.719204,-78.890182,South Boston Elementary School,K-5,5.0,89%,665,4,1,1.0,55.0,5.0,34.0,5.0,,11.0,
1026,Williamsburg-James City Public Schools,Williamsburg,37.248306,-76.765633,Warhill High School,9-12,5.0,27%,1376,5,25,3.0,20.0,8.0,61.0,6.0,1.0,18.0,
1027,Campbell County Public Schools,Rustburg,37.273449,-79.103539,Rustburg Middle School,6-8,5.0,46%,626,2,6,1.0,14.0,1.0,80.0,4.0,,14.0,
1028,Chesterfield County Public Schools,Chesterfield,37.33532,-77.34285,Elizabeth Davis Middle School,6-8,5.0,35%,1270,4,66,3.0,25.0,18.0,48.0,5.0,,16.0,
1029,Culpeper County Public Schools,Culpeper,38.485516,-78.016624,Yowell Elementary School,PK-5,5.0,50%,676,3,39,2.0,12.0,22.0,55.0,9.0,,14.0,
1030,Loudoun County Public Schools,Broadlands,39.041824,-77.454727,Steuart W. Weller Elementary School,PK-5,5.0,22%,764,4,33,18.0,11.0,17.0,47.0,6.0,1.0,16.0,
1031,Powhatan County Public Schools,Powhatan,37.518898,-77.797867,Flat Rock Elementary School,PK-5,5.0,20%,708,5,7,,4.0,4.0,87.0,4.0,,15.0,
1032,Prince William County Public Schools,Manassas,38.616879,-77.310028,Fannie W. Fitzgerald Elementary School,PK-5,5.0,61%,845,3,58,9.0,54.0,25.0,7.0,4.0,,14.0,
1033,Fairfax County Public Schools,Falls Church,38.951931,-77.419266,Coates Elementary,PK-6,5.0,46%,738,4,88,27.0,22.0,35.0,11.0,4.0,,12.0,
1034,Frederick County Public Schools,Winchester,39.170086,-78.1054,Greenwood Mill Elementary School,PK-5,5.0,27%,618,5,15,3.0,6.0,12.0,71.0,7.0,,18.0,
1035,Prince William County Public Schools,Manassas,38.774624,-77.594009,Piney Branch Elementary School,PK-5,5.0,15%,844,4,62,14.0,8.0,16.0,54.0,8.0,,16.0,
1036,Loudoun County Public Schools,Broadlands,38.899761,-77.544067,Buffalo Trail Elementary School,K-5,5.0,3%,1304,4,49,35.0,9.0,6.0,44.0,6.0,1.0,16.0,
1037,Dickenson County Public Schools,Clintwood,37.133446,-82.389114,Ridgeview High School,9-12,4.0,59%,582,0,0,,1.0,,99.0,,,12.0,
1038,Prince William County Public Schools,Manassas,38.633137,-77.378983,Kyle R. Wilson Elementary School,PK-5,4.0,38%,786,5,21,10.0,21.0,33.0,29.0,6.0,,,
1039,Prince William County Public Schools,Manassas,38.570644,-77.288765,Covington-Harper Elementary School,Ungraded,4.0,?,559,5,13,6.0,48.0,21.0,18.0,6.0,1.0,,
1040,Accomack County Public Schools,Accomac,37.652702,-75.792656,Pungoteague Elementary School,PK-5,4.0,79%,485,4,4,,54.0,14.0,30.0,1.0,,11.0,1.0
1041,Accomack County Public Schools,Accomac,37.779949,-75.645447,Metompkin Elementary School,PK-5,4.0,76%,600,5,2,1.0,39.0,39.0,21.0,1.0,,14.0,
1042,Albemarle County Public Schools,Charlottesville,38.075462,-78.501488,Albemarle High School,9-12,4.0,28%,1992,3,14,8.0,15.0,13.0,59.0,6.0,,13.0,
1043,Albemarle County Public Schools,Charlottesville,38.076916,-78.506622,Jack Jouett Middle School,6-8,4.0,50%,559,4,17,4.0,18.0,21.0,48.0,8.0,1.0,11.0,
1044,Albemarle County Public Schools,Charlottesville,38.039948,-78.486649,Jackson P Burley Middle School,6-8,4.0,42%,565,3,7,5.0,19.0,21.0,48.0,7.0,,11.0,
1045,Albemarle County Public Schools,Charlottesville,37.921494,-78.551064,Leslie H Walton Middle School,6-8,4.0,35%,351,4,11,2.0,9.0,9.0,74.0,6.0,,10.0,
1046,Albemarle County Public Schools,Charlottesville,38.040722,-78.482521,Murray High School,9-12,4.0,24%,100,5,16,1.0,7.0,10.0,78.0,3.0,1.0,8.0,
1047,Albemarle County Public Schools,Charlottesville,38.112118,-78.369492,Stony Point Elementary School,K-5,4.0,34%,252,5,12,4.0,13.0,13.0,65.0,5.0,,12.0,
1048,Alexandria City Public Schools,Alexandria,38.828445,-77.073082,George Mason Elementary School,PK-5,4.0,29%,575,5,85,1.0,6.0,34.0,55.0,4.0,,13.0,
1049,Alexandria City Public Schools,Alexandria,38.821522,-77.116066,James K Polk Elementary School,PK-5,4.0,72%,747,5,48,8.0,36.0,32.0,22.0,2.0,,11.0,
1050,Alexandria City Public Schools,Alexandria,38.833614,-77.125702,John Adams Elementary School,PK-5,4.0,71%,1038,4,76,10.0,33.0,37.0,19.0,2.0,,9.0,
1051,Alexandria City Public Schools,Alexandria,38.812771,-77.06517,Maury Elementary School,PK-5,4.0,34%,429,5,146,2.0,30.0,7.0,55.0,6.0,,11.0,
1052,Alexandria City Public Schools,Alexandria,38.837418,-77.057556,Cora Kelly Magnet Elementary,PK-5,4.0,83%,426,3,56,2.0,20.0,68.0,9.0,,,8.0,
1053,Alleghany County Public Schools,Low Moor,37.800072,-79.874016,Mountain View Elementary School,PK-5,4.0,72%,544,3,6,,8.0,1.0,83.0,7.0,,12.0,
1054,Amelia County Public Schools,Amelia Court House,37.331299,-77.984596,Amelia County Elementary School,PK-4,4.0,54%,725,3,9,,18.0,4.0,72.0,6.0,,13.0,
1055,Amelia County Public Schools,Amelia Court House,37.331242,-77.987717,Amelia County High School,9-12,4.0,41%,547,2,7,1.0,23.0,5.0,66.0,5.0,,14.0,
1056,Amherst County Public Schools,Amherst,37.570107,-79.058594,Amherst County High School,9-12,4.0,42%,1183,5,3,1.0,23.0,4.0,66.0,6.0,1.0,15.0,
1057,Amherst County Public Schools,Amherst,37.569233,-79.036171,Central Elementary School,PK-5,4.0,72%,352,2,6,,18.0,4.0,71.0,6.0,1.0,17.0,
1058,Arlington County Public Schools,Arlington,38.892307,-77.086754,Francis Scott Key Elementary School,PK-5,4.0,41%,739,5,27,4.0,5.0,52.0,34.0,5.0,1.0,13.0,
1059,Arlington County Public Schools,Arlington,38.8479,-77.111931,Wakefield High School,9-12,4.0,44%,2248,4,70,8.0,19.0,45.0,23.0,5.0,,14.0,
1060,Augusta County Public Schools,Verona,38.314762,-79.079071,North River Elementary School,PK-5,4.0,48%,292,4,9,,2.0,10.0,87.0,1.0,,11.0,
1061,Augusta County Public Schools,Verona,38.123112,-78.987862,Wilson Elementary School,PK-5,4.0,43%,661,1,1,2.0,5.0,9.0,77.0,6.0,1.0,14.0,
1062,Augusta County Public Schools,Verona,38.246071,-78.976936,Edward G. Clymore Elementary School,PK-5,4.0,46%,797,5,2,1.0,2.0,6.0,87.0,4.0,,14.0,
1063,Augusta County Public Schools,Verona,38.14772,-79.120178,Beverley Manor Middle School,6-8,4.0,43%,714,2,17,1.0,2.0,3.0,93.0,2.0,,13.0,
1064,Bedford County Public Schools,Bedford,37.339825,-79.52153,Bedford Middle School,6-8,4.0,50%,572,3,6,1.0,13.0,2.0,79.0,4.0,,15.0,
1065,Bristol City Public Schools,Bristol,36.622093,-82.138977,Joseph Van Pelt Elementary School,PK-5,4.0,78%,461,4,12,1.0,5.0,5.0,81.0,7.0,,13.0,
1066,Colonial Beach Public Schools,Colonial Beach,38.257759,-76.968971,Colonial Beach Elementary School,PK-7,4.0,71%,418,4,23,1.0,23.0,3.0,61.0,10.0,,19.0,
1067,Buchanan County Public Schools,Grundy,37.283249,-82.061409,Grundy High School,9-12,4.0,66%,419,0,0,,,,99.0,1.0,,12.0,
1068,Buchanan County Public Schools,Grundy,37.379883,-82.000572,Hurley High School,8-12,4.0,86%,236,0,0,,,,100.0,,,10.0,
1069,Buchanan County Public Schools,Grundy,37.093372,-82.128845,Council Elementary/Middle School,PK-7,4.0,86%,199,4,3,,,,100.0,,,10.0,
1070,Buchanan County Public Schools,Grundy,37.384914,-82.000603,Hurley Elementary/Middle School,PK-7,4.0,88%,382,5,4,,1.0,,99.0,,,11.0,
1071,Buckingham County Public Schools,Buckingham,37.536419,-78.502899,Buckingham Co. Middle School,6-8,4.0,68%,429,0,0,,36.0,4.0,53.0,7.0,,12.0,
1072,Buckingham County Public Schools,Buckingham,37.541363,-78.510956,Buckingham County High School,9-12,4.0,63%,565,3,5,1.0,36.0,4.0,52.0,8.0,,13.0,
1073,Campbell County Public Schools,Rustburg,37.144463,-79.295898,Altavista Elementary School,PK-5,4.0,61%,521,3,16,1.0,29.0,4.0,59.0,6.0,1.0,15.0,
1074,Campbell County Public Schools,Rustburg,37.27702,-79.084328,Rustburg High School,9-12,4.0,40%,865,4,5,1.0,13.0,2.0,81.0,4.0,,14.0,
1075,Campbell County Public Schools,Rustburg,37.252487,-79.184998,Yellow Branch Elementary School,PK-5,4.0,52%,570,5,3,1.0,12.0,2.0,76.0,8.0,1.0,13.0,
1076,Caroline County Public Schools,Bowling Green,38.026588,-77.49025,Madison Elementary School,PK-5,4.0,57%,476,4,23,,34.0,10.0,45.0,11.0,,15.0,
1077,Charles City County Public Schools,Charles City,37.351204,-77.076851,Charles City Co High School,7-12,4.0,57%,305,0,0,,61.0,1.0,29.0,3.0,5.0,8.0,1.0
1078,Charles City County Public Schools,Charles City,37.351204,-77.076851,Charles City Co Elementary School,PK-6,4.0,67%,345,3,19,,52.0,1.0,32.0,7.0,7.0,13.0,1.0
1079,Chesapeake Public Schools,Chesapeake,36.760609,-76.278595,Crestwood Intermediate School,3-5,4.0,52%,744,3,32,3.0,50.0,9.0,29.0,9.0,,16.0,
1080,Chesapeake Public Schools,Chesapeake,36.799896,-76.258682,George W. Carver Intermediate School,3-5,4.0,89%,565,2,13,1.0,53.0,19.0,20.0,7.0,,14.0,
1081,Chesapeake Public Schools,Chesapeake,36.797173,-76.242058,Indian River High School,9-12,4.0,44%,1690,4,52,2.0,48.0,8.0,34.0,7.0,,15.0,
1082,Chesapeake Public Schools,Chesapeake,36.740002,-76.257149,Oscar F. Smith High School,9-12,4.0,58%,2265,4,37,4.0,57.0,9.0,24.0,6.0,,13.0,
1083,Chesapeake Public Schools,Chesapeake,36.786224,-76.219086,Greenbrier Intermediate School,3-5,4.0,35%,719,4,4,8.0,33.0,9.0,40.0,11.0,1.0,16.0,
1084,Chesapeake Public Schools,Chesapeake,36.755604,-76.351105,Deep Creek High School,9-12,4.0,43%,1647,4,10,3.0,40.0,10.0,39.0,6.0,,13.0,
1085,Chesterfield County Public Schools,Chesterfield,37.391319,-77.440704,Bellwood Elementary School,PK-5,4.0,78%,545,4,13,3.0,23.0,41.0,29.0,4.0,,12.0,
1086,Chesterfield County Public Schools,Chesterfield,37.465286,-77.51841,J A Chalkley Elementary School,PK-5,4.0,77%,869,4,28,1.0,46.0,46.0,4.0,3.0,,14.0,
1087,Chesterfield County Public Schools,Chesterfield,37.229935,-77.482742,Matoaca Elementary School,PK-5,4.0,55%,421,5,3,,33.0,5.0,55.0,7.0,,17.0,
1088,Chesterfield County Public Schools,Chesterfield,37.277298,-77.467323,Matoaca High School,9-12,4.0,31%,1702,4,10,1.0,40.0,5.0,49.0,4.0,,15.0,
1089,Chesterfield County Public Schools,Chesterfield,37.245426,-77.475822,Matoaca Middle School,6-8,4.0,36%,968,3,13,3.0,35.0,5.0,53.0,4.0,,14.0,
1090,Chesterfield County Public Schools,Chesterfield,37.488319,-77.542892,Providence Middle School,6-8,4.0,56%,851,3,51,3.0,37.0,26.0,29.0,5.0,,15.0,
1091,Chesterfield County Public Schools,Chesterfield,37.385197,-77.484436,Salem Church Elementary School,PK-5,4.0,54%,586,5,11,1.0,22.0,22.0,49.0,4.0,,15.0,1.0
1092,Chesterfield County Public Schools,Chesterfield,37.383709,-77.48687,Salem Church Middle School,6-8,4.0,56%,902,3,33,2.0,31.0,22.0,42.0,4.0,,14.0,
1093,Chesterfield County Public Schools,Chesterfield,37.36285,-77.437302,Thomas Dale High School,9-12,4.0,32%,2353,3,72,3.0,32.0,13.0,47.0,4.0,,16.0,
1094,Chesterfield County Public Schools,Chesterfield,37.552593,-77.649521,James River High School,9-12,4.0,24%,2077,5,141,5.0,15.0,20.0,57.0,4.0,,15.0,
1095,Chesterfield County Public Schools,Chesterfield,37.321075,-77.390579,Marguerite F Christian Elementary School,PK-5,4.0,90%,560,4,31,2.0,50.0,9.0,34.0,4.0,,14.0,1.0
1096,Chesterfield County Public Schools,Chesterfield,37.457962,-77.601974,Providence Elementary School,PK-5,4.0,57%,653,3,15,3.0,32.0,15.0,40.0,9.0,,14.0,
1097,Chesterfield County Public Schools,Chesterfield,37.463413,-77.631332,Evergreen Elementary,PK-5,4.0,23%,1035,4,18,7.0,15.0,7.0,66.0,5.0,,18.0,
1098,Chesterfield County Public Schools,Chesterfield,37.416409,-77.610176,Thelma Crenshaw Elementary School,PK-5,4.0,47%,676,4,17,4.0,21.0,15.0,52.0,8.0,,17.0,
1099,Colonial Heights City Public Schools,Colonial Heights,37.268002,-77.391602,Colonial Heights High School,9-12,4.0,43%,920,5,14,3.0,18.0,6.0,68.0,5.0,,11.0,
1100,Colonial Heights City Public Schools,Colonial Heights,37.2467,-77.400314,Colonial Heights Middle School,6-8,4.0,52%,624,3,6,3.0,20.0,7.0,62.0,8.0,,13.0,
1101,Covington City Public Schools,Covington,37.751659,-79.99604,Edgemont Primary School,PK-3,4.0,69%,383,1,7,1.0,9.0,6.0,80.0,4.0,,13.0,
1102,Craig County Public Schools,New Castle,37.521072,-80.080154,Mccleary Elementary School,PK-5,4.0,68%,261,3,1,,,,99.0,,,10.0,
1103,Craig County Public Schools,New Castle,37.516094,-80.085373,Craig County High School,6-12,4.0,47%,353,1,7,,1.0,2.0,97.0,,,16.0,
1104,Culpeper County Public Schools,Culpeper,38.49588,-77.986244,Culpeper County High School,9-12,4.0,35%,1187,4,23,2.0,12.0,18.0,64.0,4.0,,14.0,
1105,Culpeper County Public Schools,Culpeper,38.455853,-78.01046,Farmington Elementary School,PK-5,4.0,57%,704,0,5,3.0,20.0,34.0,39.0,5.0,,14.0,
1106,Cumberland County Public Schools,Cumberland,37.491123,-78.248901,Cumberland High School,9-12,4.0,65%,418,0,0,,41.0,5.0,51.0,2.0,,12.0,
1107,Cumberland County Public Schools,Cumberland,37.491322,-78.24791,Cumberland Middle School,5-8,4.0,67%,395,4,18,,40.0,4.0,48.0,7.0,,14.0,
1108,Cumberland County Public Schools,Cumberland,37.491322,-78.24791,Cumberland Elementary School,PK-4,4.0,87%,522,3,11,,39.0,2.0,50.0,9.0,,15.0,
1109,Danville City Public Schools,Danville,36.577885,-79.414871,Forest Hills Elementary School,K-5,4.0,98%,237,4,15,5.0,33.0,5.0,51.0,5.0,,15.0,
1110,Dinwiddie County Public Schools,Dinwiddie,37.111881,-77.587547,Dinwiddie Middle School,6-8,4.0,55%,1004,1,15,,34.0,6.0,55.0,5.0,,16.0,
1111,Essex County Public Schools,Tappahannock,37.93182,-76.861725,Tappahannock Elementary School,PK-4,4.0,78%,441,0,0,2.0,52.0,5.0,30.0,10.0,1.0,15.0,
1112,Fairfax County Public Schools,Falls Church,38.852882,-77.181137,Beech Tree Elementary School,PK-5,4.0,62%,379,5,19,17.0,7.0,53.0,18.0,4.0,1.0,10.0,
1113,Fairfax County Public Schools,Falls Church,38.771809,-77.060982,Belle View Elementary School,PK-6,4.0,34%,558,5,35,3.0,8.0,30.0,51.0,7.0,1.0,11.0,1.0
1114,Fairfax County Public Schools,Falls Church,38.840061,-77.323524,Fairfax Villa Elementary School,PK-6,4.0,24%,645,4,43,24.0,8.0,21.0,41.0,5.0,,12.0,
1115,Fairfax County Public Schools,Falls Church,38.969028,-77.329659,Forest Edge Elementary School,PK-6,4.0,44%,591,4,67,11.0,29.0,19.0,36.0,5.0,,13.0,
1116,Fairfax County Public Schools,Falls Church,38.776375,-77.169975,Forestdale Elementary School,PK-6,4.0,53%,545,4,44,19.0,17.0,35.0,25.0,3.0,,11.0,
1117,Fairfax County Public Schools,Falls Church,38.728489,-77.06189,Sandburg Middle School,7-8,4.0,42%,1532,2,22,7.0,18.0,34.0,37.0,4.0,,14.0,
1118,Fairfax County Public Schools,Falls Church,38.781979,-77.145538,Franconia Elementary School,PK-6,4.0,24%,543,3,41,15.0,14.0,21.0,41.0,8.0,1.0,15.0,
1119,Fairfax County Public Schools,Falls Church,38.911331,-77.229744,Freedom Hill Elementary School,PK-6,4.0,25%,603,5,61,26.0,5.0,30.0,32.0,6.0,,11.0,
1120,Fairfax County Public Schools,Falls Church,38.815468,-77.162674,Holmes Middle School,6-8,4.0,56%,996,4,29,19.0,21.0,38.0,19.0,3.0,,13.0,
1121,Fairfax County Public Schools,Falls Church,38.758614,-77.089806,Hybla Valley Elementary School,PK-6,4.0,89%,955,3,23,5.0,9.0,82.0,3.0,1.0,,11.0,
1122,Fairfax County Public Schools,Falls Church,38.779591,-77.161842,Key Middle School,7-8,4.0,56%,823,4,25,22.0,15.0,42.0,17.0,3.0,,11.0,
1123,Fairfax County Public Schools,Falls Church,38.965279,-77.346779,Lake Anne Elementary School,PK-6,4.0,38%,609,3,62,7.0,19.0,32.0,35.0,8.0,,13.0,
1124,Fairfax County Public Schools,Falls Church,38.83963,-77.456535,London Towne Elementary School,PK-6,4.0,48%,852,3,69,14.0,9.0,45.0,25.0,6.0,1.0,12.0,
1125,Fairfax County Public Schools,Falls Church,38.881916,-77.265846,Marshall Road Elementary School,PK-6,4.0,23%,736,4,113,27.0,4.0,16.0,49.0,4.0,,13.0,
1126,Fairfax County Public Schools,Falls Church,38.870708,-77.208839,Pine Spring Elementary School,PK-6,4.0,61%,590,4,46,17.0,4.0,59.0,16.0,3.0,1.0,10.0,
1127,Fairfax County Public Schools,Falls Church,38.781944,-77.117325,Rose Hill Elementary School,PK-6,4.0,41%,694,4,28,12.0,9.0,47.0,28.0,4.0,1.0,11.0,
1128,Fairfax County Public Schools,Falls Church,38.888901,-77.205803,Shrevewood Elementary School,PK-6,4.0,24%,774,4,93,30.0,5.0,18.0,43.0,4.0,,14.0,
1129,Fairfax County Public Schools,Falls Church,38.932865,-77.34024,South Lakes High School,9-12,4.0,28%,2520,3,65,11.0,13.0,26.0,43.0,7.0,,13.0,
1130,Fairfax County Public Schools,Falls Church,38.855766,-77.470886,Deer Park Elementary School,PK-6,4.0,28%,628,4,59,15.0,9.0,24.0,43.0,8.0,,13.0,
1131,Fairfax County Public Schools,Falls Church,38.819771,-77.440819,Centreville Elementary School,PK-6,4.0,25%,857,4,61,25.0,9.0,22.0,39.0,5.0,,14.0,
1132,Fairfax County Public Schools,Falls Church,38.720699,-77.143021,Fort Belvoir Elementary School,PK-3,4.0,24%,951,3,59,1.0,15.0,22.0,52.0,8.0,1.0,13.0,1.0
1133,Fairfax County Public Schools,Falls Church,38.93523,-77.338364,Hughes Middle School,7-8,4.0,34%,1038,3,26,10.0,16.0,25.0,42.0,7.0,,13.0,
1134,Fairfax County Public Schools,Falls Church,38.980133,-77.358459,Armstrong Elementary School,PK-6,4.0,10%,460,5,29,7.0,6.0,8.0,68.0,11.0,,11.0,
1135,Fairfax County Public Schools,Falls Church,38.73571,-77.213837,Saratoga Elementary School,PK-6,4.0,42%,672,4,66,16.0,20.0,25.0,30.0,8.0,,12.0,
1136,Fairfax County Public Schools,Falls Church,38.852074,-77.485558,Virginia Run Elementary School,PK-6,4.0,38%,665,4,42,9.0,5.0,40.0,42.0,4.0,,13.0,
1137,Fauquier County Public Schools,Warrenton,38.702282,-77.791901,W.C. Taylor Middle School,6-8,4.0,27%,492,5,4,2.0,11.0,14.0,67.0,5.0,,10.0,
1138,Fauquier County Public Schools,Warrenton,38.871712,-77.81897,W.G. Coleman Elementary School,PK-5,4.0,34%,338,5,9,,5.0,24.0,64.0,7.0,,12.0,
1139,Fauquier County Public Schools,Warrenton,38.502594,-77.703468,Mary Walter Elementary School,PK-5,4.0,49%,441,5,10,,4.0,28.0,60.0,8.0,,13.0,
1140,Floyd County Public Schools,Floyd,36.911205,-80.308327,Floyd Elementary School,PK-7,4.0,56%,491,4,4,1.0,2.0,8.0,85.0,4.0,,17.0,
1141,Fluvanna County Public Schools,Palmyra,37.815701,-78.255325,Carrysbrook Elementary,3-4,4.0,36%,532,2,31,,14.0,6.0,72.0,8.0,,15.0,
1142,Franklin County Public Schools,Rocky Mount,37.003925,-79.878136,Franklin County High School,9-12,4.0,39%,2120,3,11,1.0,8.0,5.0,81.0,5.0,,12.0,
1143,Franklin County Public Schools,Rocky Mount,36.995049,-79.878868,Lee M. Waid Elementary School,PK-5,4.0,82%,384,0,0,,17.0,13.0,58.0,11.0,1.0,12.0,
1144,Franklin County Public Schools,Rocky Mount,37.017727,-79.885231,Ben. Franklin Middle-East,K-1,4.0,51%,544,0,0,1.0,9.0,6.0,79.0,6.0,,13.0,
1145,Frederick County Public Schools,Winchester,39.188614,-78.185951,James Wood Middle School,6-8,4.0,40%,948,3,18,2.0,5.0,25.0,64.0,4.0,,14.0,
1146,Frederick County Public Schools,Winchester,39.214771,-78.179779,Apple Pie Ridge Elementary School,PK-5,4.0,45%,455,4,3,1.0,3.0,24.0,68.0,4.0,,16.0,
1147,Giles County Public Schools,Pearisburg,37.328121,-80.705505,Giles High School,8-12,4.0,36%,658,2,2,,2.0,2.0,94.0,2.0,,13.0,
1148,Giles County Public Schools,Pearisburg,37.324829,-80.728043,Macy McClaugherty Elementary/Middle School,PK-7,4.0,55%,557,2,21,,1.0,2.0,97.0,1.0,,13.0,
1149,Halifax County Public Schools,Halifax,36.724586,-78.917244,Halifax County Middle School,6-8,4.0,62%,1141,5,2,1.0,44.0,3.0,50.0,2.0,,11.0,
1150,Hampton City Public Schools,Hampton,37.04821,-76.342323,Barron Elementary School,PK-5,4.0,43%,375,4,31,2.0,39.0,9.0,42.0,8.0,1.0,13.0,
1151,Hampton City Public Schools,Hampton,37.052784,-76.329185,Benjamin Syms Middle School,6-8,4.0,69%,935,2,26,2.0,51.0,8.0,30.0,9.0,,11.0,
1152,Hampton City Public Schools,Hampton,37.023842,-76.382332,Hampton High School,9-12,4.0,60%,1501,3,14,2.0,78.0,4.0,9.0,5.0,1.0,12.0,
1153,Hampton City Public Schools,Hampton,37.028236,-76.314079,Jane H. Bryan Elementary School,PK-5,4.0,84%,370,3,31,,62.0,8.0,19.0,10.0,1.0,11.0,
1154,Hampton City Public Schools,Hampton,37.049137,-76.354897,John Tyler Elementary School,PK-5,4.0,85%,437,4,17,,78.0,5.0,11.0,6.0,,12.0,
